2025-05-03 14:15:32.024 [http-nio-5001-exec-3] INFO  c.u.m.controller.AuthController - Method: signin - Args: [com.user.management.request.LoginRequest@1aaa590b]
2025-05-03 14:15:32.357 [http-nio-5001-exec-3] DEBUG c.u.m.controller.AuthController - Method signin executed in 334 ms
2025-05-03 14:15:32.401 [http-nio-5001-exec-4] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5MzIsImV4cCI6MTc0NjM0ODMzMiwiZW1haWwiOiJ0ZXN0dXNlcjFAZXhhbXBsZS5jb20iLCJhdXRob3JpdGllcyI6IlJPTEVfQ1VTVE9NRVIifQ.0nq8-qbnc6DzOI3HsAnb5P1223sQWvOsiXvHPqZIuOUsAqpEWbaa8iQfEMa-_WLr]
2025-05-03 14:15:32.409 [http-nio-5001-exec-4] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 8 ms
2025-05-03 14:15:32.804 [http-nio-5001-exec-5] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5MzIsImV4cCI6MTc0NjM0ODMzMiwiZW1haWwiOiJ0ZXN0dXNlcjFAZXhhbXBsZS5jb20iLCJhdXRob3JpdGllcyI6IlJPTEVfQ1VTVE9NRVIifQ.0nq8-qbnc6DzOI3HsAnb5P1223sQWvOsiXvHPqZIuOUsAqpEWbaa8iQfEMa-_WLr]
2025-05-03 14:15:32.810 [http-nio-5001-exec-5] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 6 ms
2025-05-03 14:15:33.067 [http-nio-5001-exec-6] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5MzIsImV4cCI6MTc0NjM0ODMzMiwiZW1haWwiOiJ0ZXN0dXNlcjFAZXhhbXBsZS5jb20iLCJhdXRob3JpdGllcyI6IlJPTEVfQ1VTVE9NRVIifQ.0nq8-qbnc6DzOI3HsAnb5P1223sQWvOsiXvHPqZIuOUsAqpEWbaa8iQfEMa-_WLr]
2025-05-03 14:15:33.073 [http-nio-5001-exec-6] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 6 ms
2025-05-03 14:15:46.709 [http-nio-5001-exec-9] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5MzIsImV4cCI6MTc0NjM0ODMzMiwiZW1haWwiOiJ0ZXN0dXNlcjFAZXhhbXBsZS5jb20iLCJhdXRob3JpdGllcyI6IlJPTEVfQ1VTVE9NRVIifQ.0nq8-qbnc6DzOI3HsAnb5P1223sQWvOsiXvHPqZIuOUsAqpEWbaa8iQfEMa-_WLr]
2025-05-03 14:15:46.718 [http-nio-5001-exec-9] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 9 ms
2025-05-03 14:15:48.460 [http-nio-5001-exec-10] INFO  c.u.m.controller.UserController - Method: getUserProfileHandler - Args: [Bearer eyJhbGciOiJIUzM4NCJ9.eyJpYXQiOjE3NDYyNjE5MzIsImV4cCI6MTc0NjM0ODMzMiwiZW1haWwiOiJ0ZXN0dXNlcjFAZXhhbXBsZS5jb20iLCJhdXRob3JpdGllcyI6IlJPTEVfQ1VTVE9NRVIifQ.0nq8-qbnc6DzOI3HsAnb5P1223sQWvOsiXvHPqZIuOUsAqpEWbaa8iQfEMa-_WLr]
2025-05-03 14:15:48.469 [http-nio-5001-exec-10] DEBUG c.u.m.controller.UserController - Method getUserProfileHandler executed in 9 ms
